Date;Cap_Mercado
Apr 15, 2020;4265823022
Apr 14, 2020;4445655970
Apr 13, 2020;4383717927
Apr 12, 2020;4476208893
Apr 11, 2020;4416393156
Apr 10, 2020;4398304386
Apr 09, 2020;4808304240
Apr 08, 2020;4917610324
Apr 07, 2020;4815074126
Apr 06, 2020;4934933341
Apr 05, 2020;4436420787
Apr 04, 2020;4506006200
Apr 03, 2020;4401747282
Apr 02, 2020;4353211825
Apr 01, 2020;4164352958
Mar 31, 2020;4114421628
Mar 30, 2020;3951780610
Mar 29, 2020;3735628746
Mar 28, 2020;3936951911
Mar 27, 2020;3816965083
Mar 26, 2020;4011299350
Mar 25, 2020;3892192600
Mar 24, 2020;4022117418
Mar 23, 2020;3811023692
Mar 22, 2020;3556565439
Mar 21, 2020;3861785023
Mar 20, 2020;3879713693
Mar 19, 2020;4032503207
Mar 18, 2020;3291880729
Mar 17, 2020;3272921670
Mar 16, 2020;3039075279
Mar 15, 2020;3416937214
Mar 14, 2020;3277018204
Mar 13, 2020;3533197409
Mar 12, 2020;2991296680
Mar 11, 2020;4774073146
Mar 10, 2020;5082955834
Mar 09, 2020;4976360163
Mar 08, 2020;5193751454
Mar 07, 2020;5871161835
Mar 06, 2020;6146100672
Mar 05, 2020;6069317381
Mar 04, 2020;5736063305
Mar 03, 2020;5656283496
Mar 02, 2020;5684547185
Mar 01, 2020;5326931318
Feb 29, 2020;5513501343
Feb 28, 2020;5654888920
Feb 27, 2020;5733358861
Feb 26, 2020;5626576279
Feb 25, 2020;6412549370
Feb 24, 2020;6711193967
Feb 23, 2020;7000427801
Feb 22, 2020;6639203274
Feb 21, 2020;6680313086
Feb 20, 2020;6593969560
Feb 19, 2020;6510963987
Feb 18, 2020;7024106359
Feb 17, 2020;6690330302
Feb 16, 2020;6981130276
Feb 15, 2020;7115894390
Feb 14, 2020;7938201447
Feb 13, 2020;7745460161
Feb 12, 2020;7679168943
Feb 11, 2020;7089369221
Feb 10, 2020;6765412840
Feb 09, 2020;6923891576
Feb 08, 2020;6715011227
Feb 07, 2020;6638681347
Feb 06, 2020;6561662372
Feb 05, 2020;6534946040
Feb 04, 2020;6167904186
Feb 03, 2020;6326998644
Feb 02, 2020;6192051224
Feb 01, 2020;6228000748
Jan 31, 2020;5918686002
Jan 30, 2020;6149677205
Jan 29, 2020;5820093490
Jan 28, 2020;5766295740
Jan 27, 2020;5194891020
Jan 26, 2020;4833054961
Jan 25, 2020;4688602012
Jan 24, 2020;4866203443
Jan 23, 2020;4699542544
Jan 22, 2020;4985950400
Jan 21, 2020;4996039418
Jan 20, 2020;4733990786
Jan 19, 2020;4529768144
Jan 18, 2020;4839720722
Jan 17, 2020;4880361761
Jan 16, 2020;4481369340
Jan 15, 2020;4559708498
Jan 14, 2020;4479435386
Jan 13, 2020;3925972323
Jan 12, 2020;4002908136
Jan 11, 2020;3910551434
Jan 10, 2020;3913404319
Jan 09, 2020;3831410335
Jan 08, 2020;3842535597
Jan 07, 2020;3901603874
Jan 06, 2020;3920685598
Jan 05, 2020;3661033833
Jan 04, 2020;3647675459
Jan 03, 2020;3566865661
Jan 02, 2020;3413296926
Jan 01, 2020;3487180464
Dec 31, 2019;3422573091
Dec 30, 2019;3522991775
Dec 29, 2019;3596979251
Dec 28, 2019;3528592660
Dec 27, 2019;3479818567
Dec 26, 2019;3630299084
Dec 25, 2019;3571576264
Dec 24, 2019;3616802814
Dec 23, 2019;3531225848
Dec 22, 2019;3664223259
Dec 21, 2019;3536189756
Dec 20, 2019;3588244480
Dec 19, 2019;3502970470
Dec 18, 2019;3638427774
Dec 17, 2019;3350244764
Dec 16, 2019;3650170431
Dec 15, 2019;3904275630
Dec 14, 2019;3880173548
Dec 13, 2019;3935686529
Dec 12, 2019;3927609220
Dec 11, 2019;3940857980
Dec 10, 2019;3931807625
Dec 09, 2019;4024649781
Dec 08, 2019;4181978234
Dec 07, 2019;4161554346
Dec 06, 2019;4158603291
Dec 05, 2019;4131513851
Dec 04, 2019;4078697682
Dec 03, 2019;4152239112
Dec 02, 2019;4180972758
Dec 01, 2019;4351630367
Nov 30, 2019;4444236903
Nov 29, 2019;4499466959
Nov 28, 2019;4332665328
Nov 27, 2019;4285780100
Nov 26, 2019;4054094071
Nov 25, 2019;3922534445
Nov 24, 2019;3872029539
Nov 23, 2019;4171833688
Nov 22, 2019;4038503781
Nov 21, 2019;4178686906
Nov 20, 2019;4477019355
Nov 19, 2019;4652214355
Nov 18, 2019;4764326701
Nov 17, 2019;4942845747
Nov 16, 2019;4805654070
Nov 15, 2019;4783752323
Nov 14, 2019;4661776743
Nov 13, 2019;4701325844
Nov 12, 2019;4712394825
Nov 11, 2019;4662521910
Nov 10, 2019;4744896422
Nov 09, 2019;4581632296
Nov 08, 2019;4497320765
Nov 07, 2019;4620890035
Nov 06, 2019;4654846093
Nov 05, 2019;4611367908
Nov 04, 2019;4472299266
Nov 03, 2019;4337209251
Nov 02, 2019;4407165695
Nov 01, 2019;4410658427
Oct 31, 2019;4304463550
Oct 30, 2019;4350376657
Oct 29, 2019;4494596787
Oct 28, 2019;4398419702
Oct 27, 2019;4395514355
Oct 26, 2019;4209830969
Oct 25, 2019;4323265426
Oct 24, 2019;3941963944
Oct 23, 2019;3851535216
Oct 22, 2019;4154565977
Oct 21, 2019;4193856841
Oct 20, 2019;4215346456
Oct 19, 2019;4182988727
Oct 18, 2019;4108934051
Oct 17, 2019;4252902165
Oct 16, 2019;4198332421
Oct 15, 2019;4253597373
Oct 14, 2019;4449558678
Oct 13, 2019;4403570158
Oct 12, 2019;4320197989
Oct 11, 2019;4334153644
Oct 10, 2019;4439109317
Oct 09, 2019;4525062947
Oct 08, 2019;4411972765
Oct 07, 2019;4380185308
Oct 06, 2019;4136632558
Oct 05, 2019;4179363551
Oct 04, 2019;4200636404
Oct 03, 2019;4105754571
Oct 02, 2019;4250913440
Oct 01, 2019;4149700052
Sep 30, 2019;4190528055
Sep 29, 2019;4042027572
Sep 28, 2019;4186306886
Sep 27, 2019;4274866686
Sep 26, 2019;4112158938
Sep 25, 2019;4252453235
Sep 24, 2019;4055332139
Sep 23, 2019;4976144851
Sep 22, 2019;5280687831
Sep 21, 2019;5582872778
Sep 20, 2019;5656776239
Sep 19, 2019;5596071266
Sep 18, 2019;5634116161
Sep 17, 2019;5185820588
Sep 16, 2019;4984293194
Sep 15, 2019;4956544365
Sep 14, 2019;4927544514
Sep 13, 2019;4816380794
Sep 12, 2019;4794349215
Sep 11, 2019;4760462610
Sep 10, 2019;4937980472
Sep 09, 2019;4945683419
Sep 08, 2019;4920114562
Sep 07, 2019;4865257025
Sep 06, 2019;4729959718
Sep 05, 2019;4717548412
Sep 04, 2019;4916988674
Sep 03, 2019;5075781829
Sep 02, 2019;4874630742
Sep 01, 2019;4787349160
Aug 31, 2019;4835474790
Aug 30, 2019;4845311959
Aug 29, 2019;4830661598
Aug 28, 2019;4902924048
Aug 27, 2019;5368767703
Aug 26, 2019;5311557312
Aug 25, 2019;5282587890
Aug 24, 2019;5360394328
Aug 23, 2019;5253109067
Aug 22, 2019;5157116826
Aug 21, 2019;4949924739
Aug 20, 2019;5197429547
Aug 19, 2019;5223340146
Aug 18, 2019;5269280708
Aug 17, 2019;4922553148
Aug 16, 2019;4847645211
Aug 15, 2019;4991994415
Aug 14, 2019;4829379515
Aug 13, 2019;5430983067
Aug 12, 2019;5408295100
Aug 11, 2019;5619320366
Aug 10, 2019;5312696629
Aug 09, 2019;4841377831
Aug 08, 2019;5347844968
Aug 07, 2019;5329682934
Aug 06, 2019;5499661650
Aug 05, 2019;5715506294
Aug 04, 2019;5671758598
Aug 03, 2019;5822187541
Aug 02, 2019;5714082063
Aug 01, 2019;5820418287
Jul 31, 2019;5911818280
Jul 30, 2019;5876967015
Jul 29, 2019;5914715948
Jul 28, 2019;5825043513
Jul 27, 2019;5863862682
Jul 26, 2019;6161185355
Jul 25, 2019;5745957031
Jul 24, 2019;5777502037
Jul 23, 2019;5413791219
Jul 22, 2019;5780622152
Jul 21, 2019;5948784763
Jul 20, 2019;6118750601
Jul 19, 2019;5764983475
Jul 18, 2019;5737859828
Jul 17, 2019;5397157585
Jul 16, 2019;5067853848
Jul 15, 2019;5771093080
Jul 14, 2019;5759757676
Jul 13, 2019;6471174201
Jul 12, 2019;6793144574
Jul 11, 2019;6345648711
Jul 10, 2019;7091822317
Jul 09, 2019;7689575804
Jul 08, 2019;7971270618
Jul 07, 2019;7923666043
Jul 06, 2019;7663420263
Jul 05, 2019;7544538029
Jul 04, 2019;7716124567
Jul 03, 2019;8271690324
Jul 02, 2019;8074119676
Jul 01, 2019;8371052018
Jun 30, 2019;8194278597
Jun 29, 2019;9025155149
Jun 28, 2019;8842764276
Jun 27, 2019;8616662750
Jun 26, 2019;9656748651
Jun 25, 2019;9561242158
Jun 24, 2019;9681529896
Jun 23, 2019;9576801393
Jun 22, 2019;9351144740
Jun 21, 2019;8921695483
Jun 20, 2019;8697680204
Jun 19, 2019;9006873179
Jun 18, 2019;8988105725
Jun 17, 2019;9448390100
Jun 16, 2019;9326945611
Jun 15, 2019;9262249351
Jun 14, 2019;9044265428
Jun 13, 2019;8998194771
Jun 12, 2019;9651775701
Jun 11, 2019;8862556914
Jun 10, 2019;8605000653
Jun 09, 2019;7990879330
Jun 08, 2019;8467745718
